num_topics,coherence,silhouette,num_tokens,ngram_range,min_topic_size,n_neighbors,n_components
44,0.4185424407639003,-0.016789764,6,"(1, 1)",10,8,6
51,0.3996990461035579,-0.019607212,6,"(1, 1)",10,12,2
48,0.42474509525622445,-0.026047066,6,"(1, 1)",10,12,6
62,0.3870047623706587,-0.028121961,6,"(1, 1)",10,16,2
43,0.42338263108824153,-0.025310768,6,"(1, 1)",10,16,6
48,0.4131763245410988,-0.03202783,6,"(1, 1)",13,4,2
3,0.3537887150188439,-0.003339206,6,"(1, 1)",13,4,6
40,0.43284778073586383,-0.026381908,6,"(1, 1)",13,8,2
33,0.4024370624276756,-0.023086624,6,"(1, 1)",13,8,6
3,0.3756741656835943,0.008945587,6,"(1, 1)",13,12,2
35,0.4214197277253453,-0.022377374,6,"(1, 1)",13,12,6
4,0.5249237837640489,-0.009200859,6,"(1, 1)",13,16,2
34,0.42693871657943266,-0.02350231,6,"(1, 1)",13,16,6
7,0.3941396472769946,-0.011974488,6,"(1, 1)",15,4,2
4,0.3671008366268632,-0.0066998107,6,"(1, 1)",15,4,6
34,0.4115316711552593,-0.024884816,6,"(1, 1)",15,8,2
25,0.36700725546719837,-0.019144643,6,"(1, 1)",15,8,6
3,0.3756741656835943,0.009082266,6,"(1, 1)",15,12,2
31,0.41997210584163924,-0.021206873,6,"(1, 1)",15,12,6
29,0.43619218900669565,-0.021930518,6,"(1, 1)",15,16,2
29,0.40674588855495086,-0.027219635,6,"(1, 1)",15,16,6
6,0.36949246622409215,-0.008281427,6,"(1, 1)",18,4,2
22,0.4109034120731084,-0.023325803,6,"(1, 1)",18,4,6
3,0.41317239414923534,0.0044282675,6,"(1, 1)",18,8,2
19,0.3941068058763372,-0.014600897,6,"(1, 1)",18,8,6
3,0.38764018893476676,0.0071069943,6,"(1, 1)",18,12,2
24,0.4222362939390392,-0.021694137,6,"(1, 1)",18,12,6
3,0.4045602237288428,0.0054871254,6,"(1, 1)",18,16,2
22,0.42356764755744697,-0.018586574,6,"(1, 1)",18,16,6
4,0.4211847069913953,-0.0031511914,6,"(1, 1)",20,4,2
19,0.416050839048109,-0.024344819,6,"(1, 1)",20,4,6
3,0.43904868935015245,0.0037997614,6,"(1, 1)",20,8,2
19,0.39883985442802655,-0.016124712,6,"(1, 1)",20,8,6
3,0.4345794466238084,0.007556365,6,"(1, 1)",20,12,2
21,0.41699485512184364,-0.02472013,6,"(1, 1)",20,12,6
3,0.47520124669075137,0.0054781847,6,"(1, 1)",20,16,2
20,0.40651919516243173,-0.02428005,6,"(1, 1)",20,16,6
66,0.42898848624637953,-0.029871827,6,"(1, 2)",10,4,2
68,0.45082328455747567,-0.030654075,6,"(1, 2)",10,4,6
51,0.43713193931757444,-0.025171526,6,"(1, 2)",10,8,2
44,0.4413088169337808,-0.016789764,6,"(1, 2)",10,8,6
51,0.4271816884895619,-0.019607212,6,"(1, 2)",10,12,2
48,0.4737866663862827,-0.026047066,6,"(1, 2)",10,12,6
62,0.4178575947534203,-0.028121961,6,"(1, 2)",10,16,2
43,0.47522280116844057,-0.025310768,6,"(1, 2)",10,16,6
48,0.45562325226885897,-0.03202783,6,"(1, 2)",13,4,2
3,0.3736003589424368,-0.003339206,6,"(1, 2)",13,4,6
40,0.46391063142131994,-0.026381908,6,"(1, 2)",13,8,2
33,0.436106947938101,-0.023086624,6,"(1, 2)",13,8,6
3,0.3975095859292664,0.008945587,6,"(1, 2)",13,12,2
35,0.46693519433906244,-0.022377374,6,"(1, 2)",13,12,6
4,0.5477886767127982,-0.009200859,6,"(1, 2)",13,16,2
34,0.45663648732641976,-0.02350231,6,"(1, 2)",13,16,6
7,0.39335378161846635,-0.011974488,6,"(1, 2)",15,4,2
4,0.4016692739470833,-0.0066998107,6,"(1, 2)",15,4,6
34,0.45119789356111994,-0.024884816,6,"(1, 2)",15,8,2
25,0.391320002311268,-0.019144643,6,"(1, 2)",15,8,6
3,0.3975095859292664,0.009082266,6,"(1, 2)",15,12,2
31,0.4442936205533152,-0.021206873,6,"(1, 2)",15,12,6
29,0.4722200758992918,-0.021930518,6,"(1, 2)",15,16,2
29,0.43751215909241287,-0.027219635,6,"(1, 2)",15,16,6
6,0.3532195300228315,-0.008281427,6,"(1, 2)",18,4,2
22,0.4359874918559202,-0.023325803,6,"(1, 2)",18,4,6
3,0.38683035259295556,0.0044282675,6,"(1, 2)",18,8,2
19,0.42679188751668345,-0.014600897,6,"(1, 2)",18,8,6
